"","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"X001ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X003ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X004ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X005ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X006ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X007ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X008ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X009ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X010ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X011ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X012ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X013ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X015ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X016ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X017ND",1,1,1,1,2,2,2,2,3,3,3,3,3,3
"X018ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X019ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X020ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X022ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X023ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X027ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X029ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X030ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X032ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X033ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X034ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X038ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X039ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X040ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X041ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X044ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X045ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X047ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X048ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X049ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X051ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X052ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X053ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X054ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X055ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X057ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X058ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X060ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X063ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X064ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X070ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X082ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X083ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X090ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X091ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X100ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X1047ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1050ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1052ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1053ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1054ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1059ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1062ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1063ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1066ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1075ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1076ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1079ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1080ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1096ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1098ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1100ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X1103ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X110ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X111ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1141ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X114ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X115ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1161ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1162ND",1,1,1,1,1,1,1,1,2,2,2,2,2,4
"X1163ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1165ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1166ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1167ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1168ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1169ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X116ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1175ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1177ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1178ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1179ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X117ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1181ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1183ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1184ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1185ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1187ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1188ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1193ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1195ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1196ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1198ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1203ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1220ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1221ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1222ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1223ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1224ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1226ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1228ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1229ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1236ND",2,2,2,2,3,3,3,3,4,4,4,4,4,5
"X1237ND",2,3,3,3,4,4,4,4,5,5,5,5,5,6
"X1238ND",1,1,1,1,1,1,1,1,2,2,2,2,2,4
"X1239ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X124ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1254ND",1,1,1,1,2,2,5,5,6,6,6,6,6,7
"X1256ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1257ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1260ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1262ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1263ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1266ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1268ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1270ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1271ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1277ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X127ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1290ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1291ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1294ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1295ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1297ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1298ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1307ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1309ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1311ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1312ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1313ND",1,1,1,1,1,1,1,1,1,1,7,7,7,8
"X1317ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1319ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X131ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1323ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1326ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X1327ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1328ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1338ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1343ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1344ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X1345ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1346ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X135ND",1,1,1,1,2,2,2,6,7,7,8,8,8,9
"X1364ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1365ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X136ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1380ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1386ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X138ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X139ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1403ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1407ND",1,1,1,1,2,2,5,5,6,8,9,9,9,10
"X1413ND",1,1,1,1,2,2,5,5,6,8,9,9,9,10
"X1418ND",2,3,3,3,4,5,6,7,8,9,10,10,10,11
"X141ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X142ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1437ND",1,1,1,1,2,2,5,5,6,6,6,6,6,7
"X1441ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1442ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1444ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1447ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1448ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X144ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1452ND",1,1,1,1,2,2,5,5,6,8,9,9,9,10
"X1459ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X145ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1462ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1465ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1468ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X146ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1471ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1472ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1479ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X147ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X1481ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1484ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X1489ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X148ND",1,1,1,1,2,2,2,2,3,3,3,3,3,3
"X1491ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X149ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1507ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X150ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1512ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X152ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1533ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1534ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1535ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1543ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1545ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X155ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1564ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1565ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1566ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1567ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1568ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X156ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X157ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1581ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X1587ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X158ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X159ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X160ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X165ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X166ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X168ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X170ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X171ND",1,1,1,1,1,1,1,1,1,1,7,7,7,8
"X172ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X173ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X174ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X175ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X180ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X181ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
